catalogue_key,mode_id,measurement,requirement,canonical_unit
push_up,bodyweight_reps,reps,required,count
push_up,bodyweight_reps,rpe,optional,rpe_scale
barbell_bench_press,external_load_reps,reps,required,count
barbell_bench_press,external_load_reps,load,required,kilograms
barbell_bench_press,external_load_reps,rpe,optional,rpe_scale
goblet_squat,external_load_reps,reps,required,count
goblet_squat,external_load_reps,load,required,kilograms
goblet_squat,external_load_reps,rpe,optional,rpe_scale
seated_cable_row,external_load_reps,reps,required,count
seated_cable_row,external_load_reps,load,required,kilograms
seated_cable_row,external_load_reps,rpe,optional,rpe_scale
selectorized_chest_press,external_load_reps,reps,required,count
selectorized_chest_press,external_load_reps,load,required,kilograms
selectorized_chest_press,external_load_reps,rpe,optional,rpe_scale
bulgarian_split_squat,bodyweight_reps,reps,required,count
bulgarian_split_squat,bodyweight_reps,rpe,optional,rpe_scale
bulgarian_split_squat,weighted_reps,reps,required,count
bulgarian_split_squat,weighted_reps,load,required,kilograms
bulgarian_split_squat,weighted_reps,rpe,optional,rpe_scale
plank,timed_hold,duration,required,seconds
plank,timed_hold,rpe,optional,rpe_scale
plank,weighted_timed_hold,duration,required,seconds
plank,weighted_timed_hold,load,required,kilograms
plank,weighted_timed_hold,rpe,optional,rpe_scale
farmers_carry,loaded_distance,load,required,kilograms
farmers_carry,loaded_distance,distance,required,metres
farmers_carry,loaded_distance,duration,optional,seconds
farmers_carry,loaded_distance,rpe,optional,rpe_scale
pull_up,bodyweight_reps,reps,required,count
pull_up,bodyweight_reps,rpe,optional,rpe_scale
pull_up,weighted_reps,reps,required,count
pull_up,weighted_reps,load,required,kilograms
pull_up,weighted_reps,rpe,optional,rpe_scale
pull_up,assisted_reps,reps,required,count
pull_up,assisted_reps,assistance,required,kilograms
pull_up,assisted_reps,rpe,optional,rpe_scale
dumbbell_bench_press,external_load_reps,reps,required,count
dumbbell_bench_press,external_load_reps,load,required,kilograms
dumbbell_bench_press,external_load_reps,rpe,optional,rpe_scale
incline_dumbbell_bench_press,external_load_reps,reps,required,count
incline_dumbbell_bench_press,external_load_reps,load,required,kilograms
incline_dumbbell_bench_press,external_load_reps,rpe,optional,rpe_scale
cable_chest_fly,external_load_reps,reps,required,count
cable_chest_fly,external_load_reps,load,required,kilograms
cable_chest_fly,external_load_reps,rpe,optional,rpe_scale
lat_pulldown,external_load_reps,reps,required,count
lat_pulldown,external_load_reps,load,required,kilograms
lat_pulldown,external_load_reps,rpe,optional,rpe_scale
barbell_bent_over_row,external_load_reps,reps,required,count
barbell_bent_over_row,external_load_reps,load,required,kilograms
barbell_bent_over_row,external_load_reps,rpe,optional,rpe_scale
single_arm_dumbbell_row,external_load_reps,reps,required,count
single_arm_dumbbell_row,external_load_reps,load,required,kilograms
single_arm_dumbbell_row,external_load_reps,rpe,optional,rpe_scale
chest_supported_machine_row,external_load_reps,reps,required,count
chest_supported_machine_row,external_load_reps,load,required,kilograms
